Year,Month,Day,Hour,Minute,Droga,Odcinek/Miejscowoœæ,Województwo,Rodzaj,Skutek,Rozpoczêcie,Zakoñczenie,Informacje
2022,3,30,10,15,DK62,£ochów,mazowieckie,Roboty drogowe,ruch wahad³owy,30.03.2022 godz. 08:00,30.04.2022 godz. 16:00,Droga nr DK62 - 262.5 km na odc. 0.5 km
2022,3,30,10,15,DK76,Wola Rêbkowska - Garwolin,mazowieckie,Roboty drogowe,50 ruch wahad³owy,30.03.2022 godz. 08:00,30.03.2022 godz. 17:00,Droga nr DK76 - 14.0 km na odc. 4.0 km
2022,3,30,10,15,S17,wêze³ Sulbiny - gr. rejonu,mazowieckie,Roboty drogowe,90,30.03.2022 godz. 08:00,30.03.2022 godz. 17:00,Droga nr S17 - 11.9 km na odc. 63.1 km
2022,3,30,10,15,S17c,wêze³ Miêtne - wêze³ Sulbiny,mazowieckie,Roboty drogowe,90,30.03.2022 godz. 08:00,30.03.2022 godz. 17:00,Droga nr S17c - 2.5 km na odc. 9.4 km
2022,3,30,10,15,DK79,Zwoleñ - O¿arów odcinek Ciepielów - Kostusin,mazowieckie,Roboty drogowe,60,29.03.2022 godz. 08:00,15.04.2022 godz. 17:00,Droga nr DK79 - 121.0 km na odc. 23.0 km Ruch kierowany recznie
2022,3,30,10,15,DK79,Kozienice - Zwoleñ (Garbatka Letnisko - Wilczowola),mazowieckie,Roboty drogowe,ruch wahad³owy,28.03.2022 godz. 09:00,01.04.2022 godz. 15:00,Droga nr DK79 - 92.7 km na odc. 7.9 km Ruch kierowany rêcznie
2022,3,30,10,15,DK50,£ochów - Ostrów Mazowiecka,mazowieckie,Roboty drogowe,60 ruch wahad³owy,25.03.2022 godz. 08:00,31.03.2022 godz. 15:00,Droga nr DK50 - 256.7 km na odc. 21.8 km Remont nawierzchni. Prace prowadzone punktowo. Ruch wahad³owy.
2022,3,30,10,15,DK2,"Siedlce - Miêdzyrzec Podlaski, m. Zawady str. lewa",mazowieckie,Roboty drogowe,,17.03.2022 godz. 08:00,31.03.2022 godz. 17:00,Droga nr DK2 - 591.5 km na odc. 0.5 km Obowi¹zuje Zakaz wyprzedzania.
2022,3,30,10,15,DK62,Soko³ów Podlaski - Drohiczyn,mazowieckie,Roboty drogowe,60 sygnalizacja œwietlna ruch wahad³owy,17.03.2022 godz. 07:00,30.04.2022 godz. 17:00,Droga nr DK62 - 320.8 km na odc. 4.4 km
2022,3,30,10,15,DK7,Gdañsk - Warszawa,mazowieckie,Remont mostu,droga zamkniêta,14.03.2022 godz. 13:00,19.05.2022 godz. 13:00,"Droga nr DK7 - 264.1 km na odc. 0.2 km Objazd dla ruchu lokalnego wyznaczony tablicami - d³ugoœæ objazdu 14 km. Prace prowadzone od poniedzia³ku do soboty w godz. 7 - 19. Odpowiedzialny za oznakowanie i zamkniecie mostu p. Micha³ Marczyk, tel. 883-343-218. Zamkniecie mostu na podstawie czasowej organizacji ruchu Z-2.4081\21\Z.15\2022"
2022,3,30,10,15,DK2,Budowa wêz³a Zakêt,mazowieckie,Roboty drogowe,40,14.03.2022 godz. 07:00,14.11.2022 godz. 16:00,Droga nr DK2 - 495.6 km na odc. 0.9 km
2022,3,30,10,15,DK79,Od skrzy¿owania z ul. Energetyczn¹ do skrzy¿owania z ul. Syrenki w Piasecznie,mazowieckie,Roboty drogowe,,09.03.2022 godz. 12:00,31.07.2022 godz. 00:00,Droga nr DK79 - 8.7 km na odc. 0.5 km
