Year,Month,Day,Hour,Minute,Droga,Odcinek/Miejscowość,Województwo,Rodzaj,Skutek,Rozpoczęcie,Zakończenie,Informacje
2022,5,26,18,32,DK61,Legionowo,mazowieckie,Roboty drogowe,,26.05.2022 godz. 18:00,27.05.2022 godz. 05:00,Droga nr DK61 - 24.9 km na odc. 0.2 km
2022,5,26,18,32,DK61,Zegrze,mazowieckie,Inne,,26.05.2022 godz. 12:00,27.05.2022 godz. 00:00,Droga nr DK61 - 31.1 km na odc. 0.7 km
2022,5,26,18,32,DK62,Wilczkowo - Czerwińsk,mazowieckie,Inne,60,26.05.2022 godz. 11:00,31.05.2022 godz. 15:00,"Droga nr DK62 - 151.7 km na odc. 11.3 km Renowacja rowów w m.Wyszogród km. 153+600 do km 155+000 strona prawa, lewa."
2022,5,26,18,32,DK63,Siedlce - Łuków,mazowieckie,Roboty drogowe,60 ruch wahadłowy,26.05.2022 godz. 10:00,01.06.2022 godz. 20:00,Droga nr DK63 - 274.2 km na odc. 13.7 km Roboty szybko postępujące.
2022,5,26,18,32,DK60,m. Różan,mazowieckie,Roboty drogowe,50,26.05.2022 godz. 08:00,27.05.2022 godz. 12:00,Droga nr DK60 - 208.7 km na odc. 0.6 km Ścinka poboczy i renowacja rowów.
2022,5,26,18,32,DK79,Góra Kalwaria-Sandomierz na odc. Mniszew-Kozienice,mazowieckie,Roboty drogowe,ruch wahadłowy,25.05.2022 godz. 09:00,27.05.2022 godz. 12:00,Droga nr DK79 - 43.0 km na odc. 35.1 km
2022,5,26,18,32,DK79,Góra Kalwaria-Sandomierz m. Kozienice ul: Radomska,mazowieckie,Roboty drogowe,droga zamknięta,25.05.2022 godz. 09:00,25.06.2022 godz. 16:00,Droga nr DK79 - 80.6 km na odc. 0.4 km
2022,5,26,18,32,DK79,Góra Kalwaria-Sandomierz w m. Aleksandrówka,mazowieckie,Roboty drogowe,sygnalizacja świetlna ruch wahadłowy,25.05.2022 godz. 09:00,30.06.2022 godz. 16:00,Droga nr DK79 - 81.8 km na odc. 0.4 km
2022,5,26,18,32,S8,Węzeł Niegów - Węzeł Trojany,mazowieckie,Roboty drogowe,,24.05.2022 godz. 10:00,31.07.2024 godz. 14:00,Droga nr S8 - 499.9 km na odc. 0.3 km Budowa ekranów akustycznych.
2022,5,26,18,32,DK48,Tomaszów Mazowiecki - Kozienice,mazowieckie,Roboty drogowe,50 ruch wahadłowy,23.05.2022 godz. 11:00,30.08.2022 godz. 15:00,Droga nr DK48 - 127.6 km na odc. 0.2 km
2022,5,26,18,32,DK61,Pułtusk - Różan,mazowieckie,Roboty drogowe,60,23.05.2022 godz. 10:00,27.05.2022 godz. 12:00,Droga nr DK61 - 64.5 km na odc. 27.6 km Roboty szybkopostępujące. Odcinki robocze 2 km.
2022,5,26,18,32,DK62,Wyszków - Łochów,mazowieckie,Roboty drogowe,60 ruch wahadłowy,23.05.2022 godz. 08:00,31.05.2022 godz. 15:00,Droga nr DK62 - 249.1 km na odc. 10.4 km Prace utrzymaniowe prowadzone punktowo.
2022,5,26,18,32,DK76,Wilga-Garwolin,mazowieckie,Roboty drogowe,60 ruch wahadłowy,23.05.2022 godz. 08:00,27.05.2022 godz. 15:00,Droga nr DK76 - 2.0 km na odc. 2.0 km
